variant_id,card_no,rarity,package_name,image_url,local_image_url,is_primary
1974825607195648,BP01-001,SR,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/01930aa9-3e8a-4620-8059-94b6f107908d/BP01-SR_BP01-001SR.png,/card-images/BP01-001.png,true
1974825607199744,BP01-001,SR★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/bacd95b9-0a47-4811-bfb0-9857b5f4a43c/BP01-SR_BP01-001SR★.png,,false
1974825607199745,BP01-001,SR★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/d0494a68-fc0c-40ac-b94a-2215b28d3a20/BP01-SR_BP01-001SR★★.png,,false
1974825607199746,BP01-001,SR★★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/93c9375d-483f-4493-84dd-04b26ee53e32/BP01-SR_BP01-001SR★★★.png,,false
1974825607199747,BP01-002,R,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-002/f187370d-1a02-429a-b669-581ea72ea676/BP01-R_BP01-002R.png,/card-images/BP01-002.png,true
1974825607199748,BP01-002,R★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-002/9e1dac14-70d5-45fb-910d-b5ae4a44fa81/BP01-R_BP01-002R★.png,,false
1974825607203840,BP01-003,R,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-003/4eb1af53-1e9e-4c14-bd62-558ca0c3325c/BP01-R_BP01-003R.png,/card-images/BP01-003.png,true
1974825607203841,BP01-003,R★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-003/11f012bd-c1d9-4d03-b499-675c0fd46385/BP01-R_BP01-003R★.png,,false
1974825607203842,BP01-004,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-004/02ae5b55-1c23-4f12-b31a-b19addf720ed/BP01-U_BP01-004U.png,/card-images/BP01-004.png,true
1974825607203843,BP01-005,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-005/a81ba065-b95e-4627-a619-ee6d629ab1f8/BP01-U_BP01-005U.png,/card-images/BP01-005.png,true
1974825607203844,BP01-006,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-006/a8da5a25-73fa-463f-89bf-1d0af38f2860/BP01-U_BP01-006U.png,/card-images/BP01-006.png,true
1974825607203845,BP01-007,R,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/e23e1df0-ab62-469d-af23-ca536ceb5ce4/BP01-R_BP01-007R.png,/card-images/BP01-007.png,true
1974825607207936,BP01-007,R★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/ced31669-5019-4641-9c09-ef697579a25e/BP01-R_BP01-007R★.png,,false
1974825607207937,BP01-007,R★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/0c1a3c9a-e74c-41e8-8b09-b674ab09ce21/BP01-R_BP01-007R★★.png,,false
1974825607207938,BP01-008,SR,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-008/058e03e3-99ba-4a9f-8c56-078e669f02f0/BP01-SR_BP01-008SR.png,/card-images/BP01-008.png,true
1974825607207939,BP01-008,SR★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-008/a9d33228-89f6-4781-b17c-3aafbf22a576/BP01-SR_BP01-008SR★.png,,false
1974825607207940,BP01-008,SR★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-008/50ba9497-907a-4ad1-a56d-3d1fdfe323f4/BP01-SR_BP01-008SR★★.png,,false
1974825607207941,BP01-009,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-009/8adac85b-05a8-4d5a-bc5b-17a7d8b1a1a4/BP01-U_BP01-009U.png,/card-images/BP01-009.png,true
1979093737892864,BP01-009,PR,PR-推广卡,https://zhanshuang-prod-minio.janime.cn/card-game-public/1979091528694784/BP01-009/dc279fa0-a3dc-4d49-bd56-bd0299cc806d/BP01-009PR.png,,false
1974825607212032,BP01-010,R,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-010/ddb70a07-6b07-4a39-a614-009d7496f24b/BP01-R_BP01-010R.png,/card-images/BP01-010.png,true
1974825607212033,BP01-010,R★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-010/817c7936-1343-40ff-9c46-eae057079fba/BP01-R_BP01-010R★.png,,false
1974825607212034,BP01-010,R★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-010/d037041c-dc88-43d2-8ed4-da52f384befd/BP01-R_BP01-010R★★.png,,false
1974835633679360,BP01-011,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-011/3a3adece-dea8-444b-a229-17d2ee0bd00e/BP01-U_BP01-011U.png,/card-images/BP01-011.png,true
1974835633683456,BP01-012,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-012/f3e20d99-e23e-4e39-8922-f8f49428f880/BP01-U_BP01-012U.png,/card-images/BP01-012.png,true
1974835633683457,BP01-013,R,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-013/6f55bc93-34ab-4364-913b-420e8cc2ef51/BP01-R_BP01-013R.png,/card-images/BP01-013.png,true
1974835633683458,BP01-013,R★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-013/e1619327-4970-48b1-beca-aa69d9915787/BP01-R_BP01-013R★.png,,false
1975098350058496,BP01-014,SR,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-014/34a2af4e-1481-49c7-869d-0cf70bc1fd24/BP01-SR_BP01-014SR.png,/card-images/BP01-014.png,true
1975098350058497,BP01-014,SR★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-014/ce61e102-39dd-42ea-be3c-8ad3fd294aa0/BP01-SR_BP01-014SR★.png,,false
1975098350062592,BP01-014,SR★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-014/20a5c12e-c73d-47f4-a2fc-a0ffd794d736/BP01-SR_BP01-014SR★★.png,,false
1975098350062593,BP01-014,SR★★★,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-014/a17b1bb0-bc87-4f83-b86c-e568c01705d9/BP01-SR_BP01-014SR★★★.png,,false
1974835633687555,BP01-015,U,BP01-命运交锋,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-015/dc59aca8-4d8d-4994-ac3a-4aee18f3e2f4/BP01-U_BP01-015U.png,/card-images/BP01-015.png,true
1979093737888772,BP01-015,PR,PR-推广卡,https://zhanshuang-prod-minio.janime.cn/card-game-public/1979091528694784/BP01-015/7d63adeb-0b87-491d-a9f6-8a6beb2bad14/BP01-015PR.png,,false
