id,card_no,name,package_name,rarity,cost,attribute,pp_value,dp_value,signal_color,card_types,features,effect,image_url
1974825607195648,BP01-001,露西亚·鸦羽,BP01-命运交锋,SR,8,冰,7,1,,角色牌 / 升变角色牌,灰鸦小队 / 露西亚,"升变条件 费用8以下的<露西亚>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：使用该牌时，可以将我方墓地10张<灰鸦小队>加入牌组并洗切。若如此做，该牌可以无视【升变条件「费用上限8及以上」】出场。
【出】消除2同色信号球：公开我方牌组顶5张牌，选择其中任意数量的费用合计为6及以下的<灰鸦小队>角色出场，将剩余的牌按任意顺序放置到牌组底。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/01930aa9-3e8a-4620-8059-94b6f107908d/BP01-SR_BP01-001SR.png
1974825607199744,BP01-001,露西亚·鸦羽,BP01-命运交锋,SR★,8,冰,7,1,,角色牌 / 升变角色牌,灰鸦小队 / 露西亚,"升变条件 费用8以下的<露西亚>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：使用该牌时，可以将我方墓地10张<灰鸦小队>加入牌组并洗切。若如此做，该牌可以无视【升变条件「费用上限8及以上」】出场。
【出】消除2同色信号球：公开我方牌组顶5张牌，选择其中任意数量的费用合计为6及以下的<灰鸦小队>角色出场，将剩余的牌按任意顺序放置到牌组底。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/bacd95b9-0a47-4811-bfb0-9857b5f4a43c/BP01-SR_BP01-001SR★.png
1974825607199745,BP01-001,露西亚·鸦羽,BP01-命运交锋,SR★★,8,冰,7,1,,角色牌 / 升变角色牌,灰鸦小队 / 露西亚,"升变条件 费用8以下的<露西亚>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：使用该牌时，可以将我方墓地10张<灰鸦小队>加入牌组并洗切。若如此做，该牌可以无视【升变条件「费用上限8及以上」】出场。
【出】消除2同色信号球：公开我方牌组顶5张牌，选择其中任意数量的费用合计为6及以下的<灰鸦小队>角色出场，将剩余的牌按任意顺序放置到牌组底。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/d0494a68-fc0c-40ac-b94a-2215b28d3a20/BP01-SR_BP01-001SR★★.png
1974825607199746,BP01-001,露西亚·鸦羽,BP01-命运交锋,SR★★★,8,冰,7,1,,角色牌 / 升变角色牌,灰鸦小队 / 露西亚,"升变条件 费用8以下的<露西亚>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：使用该牌时，可以将我方墓地10张<灰鸦小队>加入牌组并洗切。若如此做，该牌可以无视【升变条件「费用上限8及以上」】出场。
【出】消除2同色信号球：公开我方牌组顶5张牌，选择其中任意数量的费用合计为6及以下的<灰鸦小队>角色出场，将剩余的牌按任意顺序放置到牌组底。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-001/93c9375d-483f-4493-84dd-04b26ee53e32/BP01-SR_BP01-001SR★★★.png
1974825607199747,BP01-002,露西亚·鸦羽,BP01-命运交锋,R,7,冰,9,1,,角色牌,灰鸦小队 / 露西亚,"【永】：若我方战场存在<里>角色和<丽芙>角色，手牌和牌组的该牌的费用-3。
【出】 消除2同色信号球：直到回合结束为止，该牌获得【突进】及【充能0】。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-002/f187370d-1a02-429a-b669-581ea72ea676/BP01-R_BP01-002R.png
1974825607199748,BP01-002,露西亚·鸦羽,BP01-命运交锋,R★,7,冰,9,1,,角色牌,灰鸦小队 / 露西亚,"【永】：若我方战场存在<里>角色和<丽芙>角色，手牌和牌组的该牌的费用-3。
【出】 消除2同色信号球：直到回合结束为止，该牌获得【突进】及【充能0】。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-002/9e1dac14-70d5-45fb-910d-b5ae4a44fa81/BP01-R_BP01-002R★.png
1974825607203840,BP01-003,露西亚·鸦羽,BP01-命运交锋,R,7,冰,9,1,,角色牌,灰鸦小队 / 露西亚,【出】：可以将我方战场1张<灰鸦小队>角色返回手牌。若如此做，选择战场1张费用为5及以下的角色，将其返回手牌。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-003/4eb1af53-1e9e-4c14-bd62-558ca0c3325c/BP01-R_BP01-003R.png
1974825607203841,BP01-003,露西亚·鸦羽,BP01-命运交锋,R★,7,冰,9,1,,角色牌,灰鸦小队 / 露西亚,【出】：可以将我方战场1张<灰鸦小队>角色返回手牌。若如此做，选择战场1张费用为5及以下的角色，将其返回手牌。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-003/11f012bd-c1d9-4d03-b499-675c0fd46385/BP01-R_BP01-003R★.png
1974825607203842,BP01-004,露西亚·鸦羽,BP01-命运交锋,U,4,冰,4,0,,角色牌,灰鸦小队 / 露西亚,【出】丢弃1张手牌：选择我方费用区1张牌，将其加入手牌。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-004/02ae5b55-1c23-4f12-b31a-b19addf720ed/BP01-U_BP01-004U.png
1974825607203843,BP01-005,露西亚·鸦羽,BP01-命运交锋,U,4,冰,4,0,,角色牌,灰鸦小队 / 露西亚,,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-005/a81ba065-b95e-4627-a619-ee6d629ab1f8/BP01-U_BP01-005U.png
1974825607203844,BP01-006,露西亚·鸦羽,BP01-命运交锋,U,2,冰,4,0,,角色牌,灰鸦小队 / 露西亚,,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-006/a8da5a25-73fa-463f-89bf-1d0af38f2860/BP01-U_BP01-006U.png
1974825607203845,BP01-007,刹那冰华,BP01-命运交锋,R,1,冰,,,,战术牌 / 瞬时战术牌,,【瞬时】：选择我方战场1张<灰鸦小队>角色，直到回合结束为止，其PP+1500。可以追加丢弃任意数量的手牌，每丢弃1张，直到回合结束为止，其PP+1000。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/e23e1df0-ab62-469d-af23-ca536ceb5ce4/BP01-R_BP01-007R.png
1974825607207936,BP01-007,刹那冰华,BP01-命运交锋,R★,1,冰,,,,战术牌 / 瞬时战术牌,,【瞬时】：选择我方战场1张<灰鸦小队>角色，直到回合结束为止，其PP+1500。可以追加丢弃任意数量的手牌，每丢弃1张，直到回合结束为止，其PP+1000。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/ced31669-5019-4641-9c09-ef697579a25e/BP01-R_BP01-007R★.png
1974825607207937,BP01-007,刹那冰华,BP01-命运交锋,R★★,1,冰,,,,战术牌 / 瞬时战术牌,,【瞬时】：选择我方战场1张<灰鸦小队>角色，直到回合结束为止，其PP+1500。可以追加丢弃任意数量的手牌，每丢弃1张，直到回合结束为止，其PP+1000。,https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-007/0c1a3c9a-e74c-41e8-8b09-b674ab09ce21/BP01-R_BP01-007R★★.png
1974825607207938,BP01-008,露娜·银冕,BP01-命运交锋,SR,8,暗,10,2,,角色牌 / 升变角色牌,升格者 / 露娜,"升变条件 费用7以下的《露娜·银冕》&「费用上限7及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：若我方侵蚀计数为5及以上，我方战场所有<升格者>角色PP+1000。
【自】：该牌攻击时，可以消除【2红色信号球】。若如此做，选择我方战场1张<升格者>角色，直到下个回合结束为止，其获得【充能+1】，PP+2000。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-008/058e03e3-99ba-4a9f-8c56-078e669f02f0/BP01-SR_BP01-008SR.png
1974825607207939,BP01-008,露娜·银冕,BP01-命运交锋,SR★,8,暗,10,2,,角色牌 / 升变角色牌,升格者 / 露娜,"升变条件 费用7以下的《露娜·银冕》&「费用上限7及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：若我方侵蚀计数为5及以上，我方战场所有<升格者>角色PP+1000。
【自】：该牌攻击时，可以消除【2红色信号球】。若如此做，选择我方战场1张<升格者>角色，直到下个回合结束为止，其获得【充能+1】，PP+2000。",https://zhanshuang-prod-minio.janime.cn/card-game-public/1974825587141632/BP01-008/a9d33228-89f6-4781-b17c-3aafbf22a576/BP01-SR_BP01-008SR★.png
