id,card_no,name,package_name,rarity,cost,attribute,pp_value,dp_value,signal_color,card_types,features,effect,image_url
BP01-001,BP01-001,露西亚·鸦羽,BP01-命运交锋,SR,8,冰,7,1,,角色牌 / 升变角色牌,灰鸦小队 / 露西亚,"升变条件 费用8以下的<露西亚>&「费用上限8及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：使用该牌时，可以将我方墓地10张<灰鸦小队>加入牌组并洗切。若如此做，该牌可以无视【升变条件「费用上限8及以上」】出场。
【出】消除2同色信号球：公开我方牌组顶5张牌，选择其中任意数量的费用合计为6及以下的<灰鸦小队>角色出场，将剩余的牌按任意顺序放置到牌组底。",/card-images/BP01-001.png
BP01-002,BP01-002,露西亚·鸦羽,BP01-命运交锋,R,7,冰,6,1,,角色牌,灰鸦小队 / 露西亚,"【永】：若我方战场存在<里>角色和<丽芙>角色，手牌和牌组的该牌的费用-3。
【出】 消除2同色信号球：直到回合结束为止，该牌获得【突进】及【充能0】。",/card-images/BP01-002.png
BP01-003,BP01-003,露西亚·鸦羽,BP01-命运交锋,R,6,冰,6,1,,角色牌,灰鸦小队 / 露西亚,【出】：可以将我方战场1张<灰鸦小队>角色返回手牌。若如此做，选择战场1张费用为5及以下的角色，将其返回手牌。,/card-images/BP01-003.png
BP01-004,BP01-004,露西亚·鸦羽,BP01-命运交锋,U,3,冰,3,0,,角色牌,灰鸦小队 / 露西亚,【出】丢弃1张手牌：选择我方费用区1张牌，将其加入手牌。,/card-images/BP01-004.png
BP01-005,BP01-005,露西亚·鸦羽,BP01-命运交锋,U,3,冰,4,0,,角色牌,灰鸦小队 / 露西亚,,/card-images/BP01-005.png
BP01-006,BP01-006,露西亚·鸦羽,BP01-命运交锋,U,2,冰,4,0,,角色牌,灰鸦小队 / 露西亚,,/card-images/BP01-006.png
BP01-007,BP01-007,刹那冰华,BP01-命运交锋,R,0,冰,,,,战术牌 / 瞬时战术牌,,【瞬时】：选择我方战场1张<灰鸦小队>角色，直到回合结束为止，其PP+1500。可以追加丢弃任意数量的手牌，每丢弃1张，直到回合结束为止，其PP+1000。,/card-images/BP01-007.png
BP01-008,BP01-008,露娜·银冕,BP01-命运交锋,SR,8,暗,7,2,,角色牌 / 升变角色牌,升格者 / 露娜,"升变条件 费用7以下的《露娜·银冕》&「费用上限7及以上」
升变代价【3费】将手牌的该牌重叠在对象上方出场，获得【速攻】
【永】：若我方侵蚀计数为5及以上，我方战场所有<升格者>角色PP+1000。
【自】：该牌攻击时，可以消除【2红色信号球】。若如此做，选择我方战场1张<升格者>角色，直到下个回合结束为止，其获得【充能+1】，PP+2000。",/card-images/BP01-008.png
BP01-009,BP01-009,露娜·银冕,BP01-命运交锋,U,4,暗,4,1,,角色牌,升格者 / 露娜,"【永】：【充能0】。
【出】：若我方侵蚀计数为3及以下，可以将我方侵蚀计数+1。若如此做，抽2张牌。",/card-images/BP01-009.png
BP01-010,BP01-010,罗兰·戏炎,BP01-命运交锋,R,4,物理,3.5,1,,角色牌,升格者 / 罗兰,"【出】：将我方信号球区的牌按任意顺序排列。
【出】 消除2同色信号球：若我方侵蚀计数为4及以上，选择我方战场1张《露娜·银冕》，直到回合结束为止，其获得【贯通】。",/card-images/BP01-010.png
BP01-011,BP01-011,冕饵,BP01-命运交锋,U,4,物理,1,,,道具牌 / 装备牌,增幅器,"（使用后可在主要阶段放置在装备角色下方，每张角色只能装备1张装备）
【出】：若该回合中我方的侵蚀计数发生过变化，抽1张牌。",/card-images/BP01-011.png
BP01-012,BP01-012,沃托,BP01-命运交锋,U,3,物理,,,,道具牌 / 辅助机牌,,【起】 丢弃2张角色&横置该牌：选择我方墓地1张信号球，将其放置到我方信号球区最上方。,/card-images/BP01-012.png
BP01-013,BP01-013,终焉降临,BP01-命运交锋,R,2,暗,,,,战术牌 / 瞬时战术牌,,"该牌只能在我方战场存在《露娜·银冕》时才能使用。
【瞬时】：若我方侵蚀计数为5及以上，可以消除【2黄色信号球】。若如此做，我方侵蚀计数-1。",/card-images/BP01-013.png
